Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,86.000000,86.000000,86.000000,86.000000,82.116608,0
2020-12-15,87.339996,87.339996,87.339996,87.339996,83.396095,0
2020-12-16,86.440002,86.440002,86.440002,86.440002,82.849785,0
2020-12-17,87.010002,87.010002,87.010002,87.010002,83.396111,0
2020-12-18,87.040001,87.040001,87.040001,87.040001,83.424850,0
2020-12-21,86.699997,86.699997,86.699997,86.699997,83.098976,0
2020-12-22,86.449997,86.449997,86.449997,86.449997,82.859367,0
2020-12-23,86.919998,86.919998,86.919998,86.919998,83.309860,0
2020-12-24,86.959999,86.959999,86.959999,86.959999,83.348175,0
2020-12-28,87.010002,87.010002,87.010002,87.010002,83.396111,0
2020-12-29,86.330002,86.330002,86.330002,86.330002,82.744347,0
2020-12-30,87.000000,87.000000,87.000000,87.000000,83.386520,0
2020-12-31,87.370003,87.370003,87.370003,87.370003,83.741165,0
2021-01-04,85.269997,85.269997,85.269997,85.269997,81.728371,0
2021-01-05,86.339996,86.339996,86.339996,86.339996,82.753929,0
2021-01-06,88.750000,88.750000,88.750000,88.750000,85.063843,0
2021-01-07,89.620003,89.620003,89.620003,89.620003,85.897697,0
2021-01-08,89.360001,89.360001,89.360001,89.360001,85.648506,0
2021-01-11,89.349998,89.349998,89.349998,89.349998,85.638908,0
2021-01-12,90.559998,90.559998,90.559998,90.559998,86.798660,0
2021-01-13,89.779999,89.779999,89.779999,89.779999,86.051041,0
2021-01-14,90.110001,90.110001,90.110001,90.110001,86.367348,0
2021-01-15,88.820000,88.820000,88.820000,88.820000,85.130928,0
2021-01-19,89.400002,89.400002,89.400002,89.400002,85.686844,0
2021-01-20,89.959999,89.959999,89.959999,89.959999,86.223579,0
2021-01-21,89.300003,89.300003,89.300003,89.300003,85.590988,0
2021-01-22,89.080002,89.080002,89.080002,89.080002,85.380142,0
2021-01-25,88.419998,88.419998,88.419998,88.419998,84.747543,0
2021-01-26,87.650002,87.650002,87.650002,87.650002,84.009521,0
2021-01-27,85.540001,85.540001,85.540001,85.540001,81.987160,0
2021-01-28,86.660004,86.660004,86.660004,86.660004,83.060638,0
2021-01-29,84.809998,84.809998,84.809998,84.809998,81.287476,0
2021-02-01,86.019997,86.019997,86.019997,86.019997,82.447220,0
2021-02-02,87.760002,87.760002,87.760002,87.760002,84.114960,0
2021-02-03,87.900002,87.900002,87.900002,87.900002,84.249130,0
2021-02-04,88.949997,88.949997,88.949997,88.949997,85.255531,0
2021-02-05,89.430000,89.430000,89.430000,89.430000,85.715591,0
2021-02-08,90.470001,90.470001,90.470001,90.470001,86.712410,0
2021-02-09,90.650002,90.650002,90.650002,90.650002,86.884903,0
2021-02-10,90.519997,90.519997,90.519997,90.519997,86.760323,0
2021-02-11,90.480003,90.480003,90.480003,90.480003,86.721985,0
2021-02-12,91.040001,91.040001,91.040001,91.040001,87.258713,0
2021-02-16,90.809998,90.809998,90.809998,90.809998,87.038269,0
2021-02-17,90.489998,90.489998,90.489998,90.489998,86.731567,0
2021-02-18,89.830002,89.830002,89.830002,89.830002,86.098991,0
2021-02-19,91.379997,91.379997,91.379997,91.379997,87.584602,0
2021-02-22,91.400002,91.400002,91.400002,91.400002,87.603775,0
2021-02-23,91.599998,91.599998,91.599998,91.599998,87.795471,0
2021-02-24,93.220001,93.220001,93.220001,93.220001,89.348190,0
2021-02-25,91.220001,91.220001,91.220001,91.220001,87.431229,0
2021-02-26,90.540001,90.540001,90.540001,90.540001,86.779488,0
2021-03-01,92.959999,92.959999,92.959999,92.959999,89.098976,0
2021-03-02,92.430000,92.430000,92.430000,92.430000,88.590988,0
2021-03-03,92.360001,92.360001,92.360001,92.360001,88.523888,0
2021-03-04,90.650002,90.650002,90.650002,90.650002,86.884903,0
2021-03-05,92.830002,92.830002,92.830002,92.830002,88.974388,0
2021-03-08,93.669998,93.669998,93.669998,93.669998,89.779488,0
2021-03-09,93.639999,93.639999,93.639999,93.639999,89.750725,0
2021-03-10,95.089996,95.089996,95.089996,95.089996,91.140503,0
2021-03-11,95.570000,95.570000,95.570000,95.570000,91.600578,0
2021-03-12,96.800003,96.800003,96.800003,96.800003,92.779495,0
2021-03-15,97.559998,97.559998,97.559998,97.559998,93.507919,0
2021-03-16,96.050003,96.050003,96.050003,96.050003,92.060646,0
2021-03-17,96.879997,96.879997,96.879997,96.879997,92.856155,0
2021-03-18,96.440002,96.440002,96.440002,96.440002,92.434433,0
2021-03-19,95.900002,95.900002,95.900002,95.900002,91.916862,0
2021-03-22,95.599998,95.599998,95.599998,95.599998,91.629326,0
2021-03-23,93.629997,93.629997,93.629997,93.629997,89.741150,0
2021-03-24,94.019997,94.019997,94.019997,94.019997,90.114937,0
2021-03-25,95.320000,95.320000,95.320000,95.320000,91.614311,0
2021-03-26,97.070000,97.070000,97.070000,97.070000,93.296280,0
2021-03-29,96.639999,96.639999,96.639999,96.639999,92.882988,0
2021-03-30,97.279999,97.279999,97.279999,97.279999,93.498108,0
2021-03-31,97.139999,97.139999,97.139999,97.139999,93.363541,0
2021-04-01,97.849998,97.849998,97.849998,97.849998,94.045929,0
2021-04-05,98.930000,98.930000,98.930000,98.930000,95.083969,0
2021-04-06,98.779999,98.779999,98.779999,98.779999,94.939774,0
2021-04-07,98.129997,98.129997,98.129997,98.129997,94.315056,0
2021-04-08,98.449997,98.449997,98.449997,98.449997,94.622612,0
2021-04-09,99.389999,99.389999,99.389999,99.389999,95.526077,0
2021-04-12,99.739998,99.739998,99.739998,99.739998,95.862450,0
2021-04-13,99.250000,99.250000,99.250000,99.250000,95.391525,0
2021-04-14,99.370003,99.370003,99.370003,99.370003,95.506859,0
2021-04-15,99.800003,99.800003,99.800003,99.800003,95.920151,0
2021-04-16,100.150002,100.150002,100.150002,100.150002,96.256531,0
2021-04-19,99.589996,99.589996,99.589996,99.589996,95.718300,0
2021-04-20,98.400002,98.400002,98.400002,98.400002,94.574547,0
2021-04-21,99.790001,99.790001,99.790001,99.790001,95.910538,0
2021-04-22,99.430000,99.430000,99.430000,99.430000,95.564522,0
2021-04-23,100.699997,100.699997,100.699997,100.699997,96.785149,0
2021-04-26,100.519997,100.519997,100.519997,100.519997,96.612137,0
2021-04-27,101.279999,101.279999,101.279999,101.279999,97.342590,0
2021-04-28,101.000000,101.000000,101.000000,101.000000,97.073479,0
2021-04-29,101.550003,101.550003,101.550003,101.550003,97.602119,0
2021-04-30,100.730003,100.730003,100.730003,100.730003,96.813995,0
2021-05-03,101.709999,101.709999,101.709999,101.709999,97.755875,0
2021-05-04,101.919998,101.919998,101.919998,101.919998,97.957718,0
2021-05-05,101.949997,101.949997,101.949997,101.949997,97.986542,0
2021-05-06,102.519997,102.519997,102.519997,102.519997,98.534393,0
2021-05-07,103.650002,103.650002,103.650002,103.650002,99.620468,0
2021-05-10,103.410004,103.410004,103.410004,103.410004,99.389809,0
2021-05-11,102.059998,102.059998,102.059998,102.059998,98.092270,0
2021-05-12,99.290001,99.290001,99.290001,99.290001,95.429977,0
2021-05-13,101.269997,101.269997,101.269997,101.269997,97.332977,0
2021-05-14,102.800003,102.800003,102.800003,102.800003,98.803505,0
2021-05-17,102.510002,102.510002,102.510002,102.510002,98.524780,0
2021-05-18,101.070000,101.070000,101.070000,101.070000,97.140770,0
2021-05-19,100.430000,100.430000,100.430000,100.430000,96.525642,0
2021-05-20,100.690002,100.690002,100.690002,100.690002,96.775536,0
2021-05-21,101.139999,101.139999,101.139999,101.139999,97.208038,0
2021-05-24,101.750000,101.750000,101.750000,101.750000,97.794319,0
2021-05-25,101.360001,101.360001,101.360001,101.360001,97.419479,0
2021-05-26,101.860001,101.860001,101.860001,101.860001,97.900040,0
2021-05-27,103.169998,103.169998,103.169998,103.169998,99.159126,0
2021-05-28,103.160004,103.160004,103.160004,103.160004,99.149506,0
2021-06-01,103.730003,103.730003,103.730003,103.730003,99.697350,0
2021-06-02,103.260002,103.260002,103.260002,103.260002,99.245613,0
2021-06-03,102.889999,102.889999,102.889999,102.889999,98.890007,0
2021-06-04,103.330002,103.330002,103.330002,103.330002,99.312912,0
2021-06-07,102.849998,102.849998,102.849998,102.849998,98.851555,0
2021-06-08,103.279999,103.279999,103.279999,103.279999,99.264839,0
2021-06-09,102.139999,102.139999,102.139999,102.139999,98.169174,0
2021-06-10,101.599998,101.599998,101.599998,101.599998,97.650146,0
2021-06-11,101.970001,101.970001,101.970001,101.970001,98.005775,0
2021-06-14,101.459999,101.459999,101.459999,101.459999,97.515587,0
2021-06-15,101.790001,101.790001,101.790001,101.790001,97.832779,0
2021-06-16,100.860001,100.860001,100.860001,100.860001,96.938934,0
2021-06-17,99.349998,99.349998,99.349998,99.349998,95.487633,0
2021-06-18,98.029999,98.029999,98.029999,98.029999,94.218933,0
2021-06-21,100.139999,100.139999,100.139999,100.139999,96.246910,0
2021-06-22,100.430000,100.430000,100.430000,100.430000,96.525642,0
2021-06-23,100.019997,100.019997,100.019997,100.019997,96.379166,0
2021-06-24,100.820000,100.820000,100.820000,100.820000,97.150063,0
2021-06-25,101.120003,101.120003,101.120003,101.120003,97.439133,0
2021-06-28,100.510002,100.510002,100.510002,100.510002,96.851349,0
2021-06-29,100.260002,100.260002,100.260002,100.260002,96.610435,0
2021-06-30,100.949997,100.949997,100.949997,100.949997,97.275330,0
2021-07-01,101.550003,101.550003,101.550003,101.550003,97.853493,0
2021-07-02,101.629997,101.629997,101.629997,101.629997,97.930565,0
2021-07-06,100.639999,100.639999,100.639999,100.639999,96.976616,0
2021-07-07,101.389999,101.389999,101.389999,101.389999,97.699310,0
2021-07-08,99.949997,99.949997,99.949997,99.949997,96.311714,0
2021-07-09,101.669998,101.669998,101.669998,101.669998,97.969116,0
2021-07-12,101.750000,101.750000,101.750000,101.750000,98.046204,0
2021-07-13,100.660004,100.660004,100.660004,100.660004,96.995888,0
2021-07-14,100.379997,100.379997,100.379997,100.379997,96.726067,0
2021-07-15,100.470001,100.470001,100.470001,100.470001,96.812798,0
2021-07-16,99.570000,99.570000,99.570000,99.570000,95.945557,0
2021-07-19,97.550003,97.550003,97.550003,97.550003,93.999100,0
2021-07-20,100.300003,100.300003,100.300003,100.300003,96.648979,0
2021-07-21,101.410004,101.410004,101.410004,101.410004,97.718590,0
2021-07-22,100.860001,100.860001,100.860001,100.860001,97.188606,0
2021-07-23,101.360001,101.360001,101.360001,101.360001,97.670395,0
2021-07-26,101.379997,101.379997,101.379997,101.379997,97.689659,0
2021-07-27,100.820000,100.820000,100.820000,100.820000,97.150063,0
2021-07-28,100.779999,100.779999,100.779999,100.779999,97.111504,0
2021-07-29,101.580002,101.580002,101.580002,101.580002,97.882393,0
